,AUC (%),Accuracy (%),Balanced Accuracy (%),Error Rate (%),F1 Score (%),MCC (%),Precision (%),Recall (%),Time Training (s)
adult,91.377,85.939,77.112,14.061,67.295,59.192,76.465,60.089,69.985
breast_cancer,99.054,95.088,94.821,4.912,96.092,89.514,96.368,95.833,8.929
compas,99.971,99.224,99.241,0.776,99.141,98.435,98.869,99.415,98.762
fico,79.398,72.094,71.888,27.906,69.713,44.018,72.412,67.22,15.596
mushroom,99.904,99.151,99.151,0.849,99.18,98.302,99.217,99.145,23.317
spambase,97.616,93.702,93.031,6.298,91.829,86.773,93.897,89.862,18.365
titanic,86.469,81.117,79.613,18.883,74.805,59.835,76.779,73.043,7.308
telco,84.378,79.957,71.587,20.043,58.739,46.013,64.792,53.743,15.494
heart,90.206,83.279,83.139,16.721,84.503,66.535,84.367,84.848,3.937
loan,99.461,96.909,97.175,3.091,97.478,93.558,98.917,96.083,5.409
magic_gamma,89.952,84.895,82.121,15.105,88.703,66.258,86.094,91.476,14.585
german,78.843,75.5,68.69,24.5,55.622,39.225,60.588,51.667,11.205
