Dataset,ebm_lasso,treeGAM,fasterrisk,rulecard,gam,figs,slim,ebm
adult,91.9,91.15,88.98,91.38,85.34,91.65,75.87,92.44
breast_cancer,99.77,99.61,99.67,99.05,97.85,92.78,99.61,99.67
compas,99.9,99.94,99.95,99.97,99.64,99.21,99.59,99.99
fico,80.37,77.33,75.41,79.4,78.29,76.42,73.73,78.02
german,72.46,81.42,75.81,78.84,70.6,70.76,46.53,82.19
heart,90.96,92.94,92.78,90.21,82.95,90.41,90.3,92.03
loan,99.73,99.48,96.53,99.46,99.14,98.49,96.09,99.16
magic_gamma,92.57,87.85,83.74,89.95,83.9,85.08,75.6,90.06
mushroom,100.0,99.99,99.99,99.9,96.91,100.0,98.41,100.0
spambase,98.37,98.36,91.42,97.62,88.17,96.58,92.45,98.61
telco,86.15,85.67,85.66,84.38,81.77,84.11,79.68,86.38
titanic,83.02,84.07,86.09,86.47,82.17,74.89,86.44,87.27
