,,AUC (%),AUC (%),AUC (%),AUC (%),AUC (%),AUC (%),Accuracy (%),Accuracy (%),Accuracy (%),Accuracy (%),Accuracy (%),Accuracy (%),F1 Score (%),F1 Score (%),F1 Score (%),F1 Score (%),F1 Score (%),F1 Score (%)
Model,,EBM,EBMLASSO,FIGS,GAM,SLIM,TREEGAM,EBM,EBMLASSO,FIGS,GAM,SLIM,TREEGAM,EBM,EBMLASSO,FIGS,GAM,SLIM,TREEGAM
Dataset,RulesFrom,,,,,,,,,,,,,,,,,,
adult,DT,82.55921457848021,82.98833727120778,82.55921457848021,83.40108540888549,78.22844658591444,82.55921457848021,82.8036235221864,82.94180869031167,82.8036235221864,82.91110087517272,72.36296637494243,82.8036235221864,55.52025416997617,55.965120887831944,55.52025416997617,55.850852836176124,60.9375,55.52025416997617
adult,RF,81.42457600463273,81.41477812055054,81.5356608974737,78.82466055178392,76.49922102309074,81.42542609483246,79.68678028558269,80.16275142023646,79.68678028558269,78.67342238599724,71.41102410563488,79.61001074773529,40.646029609690444,42.88240495137047,40.75235109717868,35.54524361948956,59.273840769903764,40.97777777777778
breast_cancer,DT,98.44415329184409,97.20568783068782,98.44415329184409,98.31349206349206,93.05555555555556,98.44415329184409,95.6140350877193,92.98245614035088,95.6140350877193,91.22807017543859,91.22807017543859,95.6140350877193,96.45390070921985,94.20289855072464,96.45390070921985,92.53731343283582,92.53731343283582,96.45390070921985
breast_cancer,RF,99.75433999344907,97.50330687830689,98.10022928267279,96.494708994709,93.91534391534391,99.72158532590895,97.36842105263158,93.85964912280701,95.6140350877193,92.98245614035088,92.10526315789474,97.36842105263158,97.87234042553192,95.1048951048951,96.5034965034965,94.28571428571428,93.7062937062937,97.9020979020979
compas,DT,99.31838670481716,98.96207197594335,99.31838670481716,99.04646425453487,98.90037831021438,99.31838670481716,98.96049896049897,98.54469854469855,98.96049896049897,98.82189882189883,98.82189882189883,98.96049896049897,98.79711307137129,98.39816933638444,98.79711307137129,98.7052551408987,98.7052551408987,98.79711307137129
compas,RF,98.2441304433034,97.97526433213697,97.92076588405911,95.9934038219032,96.47191774177902,98.04736800846626,95.7033957033957,95.35689535689535,95.63409563409564,95.01039501039502,95.91129591129591,94.73319473319474,94.98381877022653,94.82625482625483,94.8905109489051,94.39252336448598,95.45104086353122,93.78068739770868
fico,DT,72.00691718420435,73.94244505494505,72.00691718420435,73.59743589743589,69.82307692307693,72.00691718420435,68.83365200764818,69.93307839388146,68.83365200764818,70.21988527724665,70.21988527724665,68.83365200764818,64.52665941240478,64.84069312465064,64.52665941240478,66.12289287656336,66.12289287656336,64.52665941240478
fico,RF,73.22909648172016,74.77239010989011,73.59514149285211,72.72857142857143,73.25146520146521,72.72111004511365,67.39961759082217,68.97705544933078,68.11663479923517,70.21988527724665,70.21988527724665,67.25621414913958,65.93406593406593,66.90464048954615,66.3301362948006,68.77192982456141,68.77192982456141,65.4911838790932
german,DT,76.61377569419402,71.08928571428572,74.45005409304002,73.39285714285714,65.47619047619048,76.61377569419402,73.5,70.0,73.5,73.0,73.0,70.5,50.467289719626166,0.0,50.467289719626166,50.90909090909091,50.90909090909091,0.0
german,RF,78.83159033537683,72.875,75.81440076932323,66.5595238095238,58.94047619047619,79.46868614016108,72.5,70.0,75.0,70.0,70.5,72.0,40.86021505376344,0.0,45.65217391304348,0.0,36.55913978494624,9.67741935483871
heart,DT,89.97844827586208,86.09307359307358,89.97844827586208,81.22294372294373,70.29220779220779,89.97844827586208,83.60655737704919,73.77049180327869,78.68852459016394,77.04918032786885,70.49180327868852,78.68852459016394,86.11111111111111,80.48780487804879,80.0,82.5,72.72727272727273,80.0
heart,RF,90.94827586206897,85.71428571428572,90.4094827586207,83.06277056277057,86.85064935064936,92.34913793103448,88.52459016393442,75.40983606557377,85.24590163934425,83.60655737704919,78.68852459016394,85.24590163934425,89.23076923076924,79.45205479452055,86.15384615384616,86.11111111111111,81.15942028985508,86.15384615384616
loan,DT,99.47080634563035,99.3155037810545,99.47080634563035,99.31696139651223,95.56068636196675,99.47080634563035,95.90163934426229,96.4871194379391,95.90163934426229,96.4871194379391,96.4871194379391,95.90163934426229,96.8383017163505,97.25274725274726,96.8383017163505,97.25274725274726,97.25274725274726,96.8383017163505
loan,RF,99.48224678494321,99.43357063312985,99.40099033136207,98.72400342831156,98.04533767119693,99.4332582371163,97.18969555035129,96.01873536299766,97.42388758782201,96.4871194379391,97.42388758782201,96.37002341920375,97.78188539741221,96.8978102189781,97.96672828096118,97.25274725274726,97.94007490636703,97.1000935453695
magic_gamma,DT,80.63077695509098,79.63096316178049,80.63077695509098,78.7771237408729,71.55203139377144,80.63077695509098,79.67928496319664,79.33753943217665,79.67928496319664,79.20609884332282,79.20609884332282,79.67928496319664,86.0595130748422,85.83783783783784,86.0595130748422,85.85732165206508,85.85732165206508,86.0595130748422
magic_gamma,RF,84.62859623015872,84.53727040516344,84.86059693186218,77.98797578305614,72.35860619219594,84.53265643147503,79.73186119873817,79.94216614090432,80.31019978969506,78.04942166140904,79.23238696109358,79.91587802313354,85.86617781851513,86.02819996337668,86.29460201280878,85.11321091103584,85.6415848782261,86.03801169590643
mushroom,DT,94.78054567022538,96.28810561728902,94.78054567022538,95.62557069314379,95.12009962292541,94.62126797183363,94.39999999999999,95.50769230769231,94.39999999999999,95.07692307692308,94.21538461538461,94.39999999999999,94.40688383527966,95.57843731072077,94.40688383527966,95.0920245398773,94.28223844282239,94.40688383527966
mushroom,RF,98.23383786440462,98.50391180762217,98.6259643885405,96.07173518017977,95.48450899912937,97.50267738226344,93.53846153846153,95.44615384615385,95.07692307692308,91.44615384615385,93.9076923076923,93.2923076923077,93.89179755671903,95.68764568764568,95.38638985005767,91.65165165165166,94.4475602916433,93.78917378917379
spambase,DT,83.52020860495436,82.86382890488464,83.52020860495436,81.80040877988091,81.91963624514943,82.6510212950891,85.01628664495115,85.66775244299674,85.01628664495115,84.79913137893594,84.79913137893594,85.01628664495115,79.64601769911505,78.84615384615384,79.64601769911505,77.9874213836478,77.9874213836478,79.64601769911505
spambase,RF,92.12371432710415,90.57387165891565,92.18552320247235,83.8460361187634,86.8008037362876,91.50683277801922,86.75352877307276,86.10206297502715,87.94788273615634,83.82193268186754,83.82193268186754,84.69055374592834,82.62108262108262,80.42813455657493,84.43197755960729,78.12041116005874,78.12041116005874,78.796992481203
telco,DT,78.6378057490658,76.66472913275982,78.6378057490658,76.87437030148028,66.12583636880312,78.6378057490658,80.19872249822569,79.4889992902768,80.19872249822569,78.708303761533,78.708303761533,80.19872249822569,53.57737104825291,51.09983079526227,53.57737104825291,49.494949494949495,49.494949494949495,53.57737104825291
telco,RF,79.86481310878094,75.92472034927277,79.86481310878094,74.66416078948048,50.0,79.42385127371723,75.44357700496806,73.52732434350602,76.79205110007096,76.72107877927608,73.45635202271114,75.44357700496806,23.11111111111111,52.72496831432193,58.764186633039095,57.84061696658098,0.0,23.11111111111111
titanic,DT,83.74517374517374,81.77206851119895,83.74517374517374,79.6574440052701,75.33596837944663,83.74517374517374,76.53631284916202,74.86033519553072,76.53631284916202,77.6536312849162,77.6536312849162,76.53631284916202,63.1578947368421,53.608247422680414,63.1578947368421,60.78431372549019,69.23076923076923,63.1578947368421
titanic,RF,78.48133848133848,73.12911725955205,77.62548262548262,65.83662714097495,69.36100131752305,77.33590733590734,73.18435754189943,69.83240223463687,72.06703910614524,63.128491620111724,65.92178770949721,73.18435754189943,61.29032258064516,44.89795918367347,58.333333333333336,32.6530612244898,46.95652173913044,62.5
