dataset,shape,class_balance,auc_dummy_mean,logloss_dummy_mean,auc_prior_mean,logloss_prior_mean,auc_dummy_std,logloss_dummy_std,auc_prior_std,logloss_prior_std,combined_prior,combined_dummy
adult,"(32561, 88)","{0: 0.76, 1: 0.24}",0.9097721854471303,0.42572763579967166,0.9014260470561085,0.3968014317631898,0.00326289021957669,0.03435569001543312,0.003622458598663844,0.0017708595030721762,0.9014260470561085,-0.09022781455286966
breast_cancer,"(569, 19)","{1: 0.63, 0: 0.37}",0.970007012358388,0.5494882911617407,0.989861130607937,0.18769252266560066,0.019267371671547306,0.345656435453508,0.008202109648740194,0.02798219207974265,0.989861130607937,-0.029992987641611957
compas,"(7214, 232)","{0: 0.55, 1: 0.45}",0.998994402897104,0.054343604381225215,0.9965441807307934,0.16283441506898785,0.00045511945189425826,0.008694287151839744,0.001361740359287371,0.007395362925967909,-0.0034558192692065726,0.998994402897104
fico,"(10459, 23)","{0: 0.52, 1: 0.48}",0.7817068277582484,0.8178310319861294,0.7879536178120687,0.5767403237276809,0.008746830838954145,0.10472094767703567,0.006286841591995424,0.0040748521705909965,0.7879536178120687,-0.2182931722417516
mushroom,"(8124, 112)","{1: 0.52, 0: 0.48}",0.9984471691292189,0.059250515970680706,0.9987999230159962,0.18790402914909393,0.0005750866809553988,0.016855063075258834,0.0003233870133667578,0.00237868279899566,-0.0012000769840038172,0.9984471691292189
spambase,"(4601, 57)","{0: 0.61, 1: 0.39}",0.9663847993340834,0.5436240618415782,0.9734415991482002,0.29072146428665735,0.004613459367384821,0.07942575940407119,0.0034327792518089534,0.007860061944956628,0.9734415991482002,-0.03361520066591661
titanic,"(891, 112)","{0: 0.62, 1: 0.38}",0.8459633415029718,0.8053458662249833,0.8477936039339404,0.5096630073243665,0.015418036676898533,0.20109131782282044,0.014440071533740077,0.006890361268650276,0.8477936039339404,-0.1540366584970282
telco,"(7043, 50)","{0: 0.73, 1: 0.27}",0.8356341125495264,0.7163436040873818,0.8328911549994064,0.4515504033547487,0.006767638005776567,0.038054179749233946,0.009866507737448061,0.005537314425230956,0.8328911549994064,-0.16436588745047365
heart,"(303, 13)","{1: 0.54, 0: 0.46}",0.8786315536315538,1.4125338630144708,0.9071925605258939,0.47147385050110524,0.0538799542505573,0.6601864004233159,0.039899135671088264,0.0326719247449365,0.9071925605258939,-0.12136844636844624
loan,"(4269, 13)","{1: 0.62, 0: 0.38}",0.9940655544044144,0.14500718935006318,0.9910702573056268,0.48566967745722833,0.0032629545964723596,0.03700320843153239,0.004057476524698781,0.0019208262346293757,-0.008929742694373188,0.9940655544044144
magic_gamma,"(19020, 10)","{1: 0.65, 0: 0.35}",0.8703270727971715,0.6834683706754032,0.8577116036459516,0.5318179486025821,0.004737707894995222,0.010635133221436692,0.005666848944090258,0.003426709447612699,0.8577116036459516,-0.12967292720282853
german,"(1000, 61)","{0: 0.7, 1: 0.3}",0.7803857142857143,0.9721789333320581,0.7886476190476192,0.536680431776477,0.026632551519775914,0.2379564030195993,0.028294992065093796,0.0064984326608831,0.7886476190476192,-0.21961428571428565
