,best_params,best_score
adult,"{'group_mode': 'mixed', 'lr': 1.0, 'max_depth': 3, 'selection': 'static'}",0.9183620723092291
fico,"{'group_mode': 'mixed', 'lr': 1.0, 'max_depth': 3, 'selection': 'greedy'}",0.7953488231056829
heart,"{'group_mode': 'univariate', 'lr': 0.5, 'max_depth': 1, 'selection': 'static'}",0.863702656350235
breast_cancer,"{'group_mode': 'univariate', 'lr': 0.1, 'max_depth': 2, 'selection': 'static'}",0.9860721753490128
compas,"{'group_mode': 'mixed', 'lr': 1.0, 'max_depth': 2, 'selection': 'greedy'}",0.9995768597058268
mushroom,"{'group_mode': 'mixed', 'lr': 0.1, 'max_depth': 3, 'selection': 'greedy'}",0.811269497487345
spambase,"{'group_mode': 'mixed', 'lr': 1.0, 'max_depth': 3, 'selection': 'greedy'}",0.9746341120882672
titanic,"{'group_mode': 'mixed', 'lr': 0.5, 'max_depth': 2, 'selection': 'greedy'}",0.8567411242130828
telco,"{'group_mode': 'mixed', 'lr': 1.0, 'max_depth': 2, 'selection': 'greedy'}",0.7550252357810076
loan,"{'group_mode': 'mixed', 'lr': 0.1, 'max_depth': 3, 'selection': 'greedy'}",0.9949366491325803
magic_gamma,"{'group_mode': 'mixed', 'lr': 1.0, 'max_depth': 3, 'selection': 'static'}",0.9129349937886272
german,"{'group_mode': 'mixed', 'lr': 0.1, 'max_depth': 2, 'selection': 'static'}",0.7739967964002298
