,min_support,PDO,max_rules,calibrator,acc,precision,recall,f1,auc,classification_sum,logloss,brier,fidelity_label,fidelity_proba,complexity,objective,n_rules,calib_auc_oof,calib_brier_oof,calib_logloss_oof,pareto
adult,10.0,100,,isotonic,0.8622172177295526,0.7446498054474708,0.6509353741496599,0.6946460980036298,0.9204756848809362,3.8729241802112493,0.2930081414187591,0.09307917824335869,0.8540280479066434,0.8308651809793871,311,0.6476685474611527,311,0.9192577386282603,0.0936314155529179,0.2970137370987356,True
breast_cancer,0.05,20,50.0,platt,0.9122807017543859,0.9423076923076923,0.9158878504672897,0.9289099526066351,0.9531980140186915,4.652584211154695,0.2590277521677536,0.07238482649964186,0.6081871345029239,0.6368270161037091,4,0.6957593084138181,4,0.9540675675675676,0.06754207429227782,0.24570445662909873,True
compas,0.005,30,50.0,platt,0.9926096997690531,0.9878048780487805,0.9959016393442623,0.9918367346938776,0.9991468929669511,4.967299844822925,0.026353253831937092,0.006705139971060443,0.9884526558891455,0.9177093769769153,50,0.7867743961350948,50,0.9994140250520928,0.008814018881119491,0.031616900208811055,True
fico,0.005,100,100.0,isotonic,0.7275334608030593,0.7165883143049027,0.7113333333333334,0.7139511542321847,0.798057794057794,3.6674640567312737,0.5449135348553188,0.18302892296607132,0.9732313575525813,0.9562194526186822,100,0.6289589927604473,100,0.8026899091486897,0.1799109249955633,0.5422263729149022,True
mushroom,0.005,50,,isotonic,0.9524200164068909,0.9158810732414794,1.0,0.9560938682816048,0.9828116103165379,4.807206568246513,0.1293920807455518,0.03721167563697863,0.8650533223954061,0.5617046231559643,10,0.722788761962884,10,0.9767007195643839,0.037383773584528865,0.13267340022178292,True
spambase,10.0,10,,platt,0.9283128167994207,0.9222011385199241,0.8933823529411765,0.907563025210084,0.9760579186871882,4.627517252157793,0.18614325285726774,0.05318905931457741,0.9949312092686459,0.9141384512666012,209,0.7330737939768303,209,0.9788463938599712,0.04755254980991791,0.1718720405003666,True
titanic,0.1,100,50.0,isotonic,0.8097014925373134,0.7954545454545454,0.6796116504854369,0.7329842931937173,0.8453662842012357,3.8631182658722487,0.44101729352088914,0.139951949646562,0.9813432835820896,0.8534898248892406,31,0.6480342420877573,31,0.8418322873082289,0.14248066540585042,0.5527775838938909,True
telco,0.005,100,50.0,platt,0.8054898248935163,0.6368613138686131,0.6221033868092691,0.6293958521190262,0.8439906187404671,3.5378409964308917,0.42102040591423817,0.1372458715617922,0.8461902508282063,0.8443368358137704,50,0.6139204022201086,50,0.8514128322163065,0.13263431547177018,0.40915949178231403,True
heart,0.01,30,50.0,platt,0.7692307692307693,0.7636363636363637,0.84,0.8,0.8604878048780488,4.033354937745181,0.46279772411948555,0.1526647448924135,1.0,0.7538842944132065,16,0.6526342296497589,16,0.921335723890632,0.10316734442302053,0.34426252149896264,True
loan,0.1,10,100.0,isotonic,0.9656518345042935,0.9908735332464146,0.9535759096612296,0.9718670076726342,0.9941801383286498,4.8761484234132215,0.0711764157460172,0.021780209194475306,0.5987509758001561,0.5685003219098148,7,0.7188730489586181,7,0.9922375097138332,0.025921842967633283,0.08474303441765278,True
magic_gamma,50.0,30,,platt,0.8566421310900806,0.8670402445236882,0.92,0.8927353789666929,0.9093975505914689,4.44581530517193,0.3490677493736036,0.10692118902468527,0.949702067998598,0.8837334446220164,300,0.689348113164498,300,0.9215657028930628,0.09960492827973634,0.327515535636639,True
german,0.1,10,50.0,platt,0.73,0.5882352941176471,0.3333333333333333,0.425531914893617,0.7466666666666667,2.823767209011264,0.5315110765607428,0.17980794778790757,0.83,0.7971348448888358,38,0.5526172594455839,38,0.7823809523809524,0.16800967733541747,0.5010274711257271,True
